Date,Water_pH,Water_EC,Z1_pH1,Z1_pH2,Z1_EC1,Z1_EC2,Z1_ml,Z1_%RH,Z2_pH1,Z2_pH2,Z2_EC1,Z2_EC2,Z2_ml,Z2_%RH,Z3_pH1,Z3_pH2,Z3_EC1,Z3_EC2,Z3_ml,Z3_%RH,Z4_pH1,Z4_pH2,Z4_EC1,Z4_EC2,Z4_ml,Z4_%RH
2024-08-01,,,6.4,,0.78,,62.5,46,,,,,,27,,,,,,52,,,,,,71
2024-08-02,,,7.9,,0.79,,60,50,6.8,,0.79,,93,33,7,,0.76,,108,53,6.4,,0.81,,98,51
2024-08-03,,,,,,,,,,,,,,,6.8,,0.8,,20,,8.2,,0.85,,60.5,
2024-08-04,,,8.5,,0.8,,70,,7.5,,0.79,,100,,,,,,,,,,,,,
2024-08-05,7.1,0.25,8.4,,0.83,,67,70,6.6,,0.87,,99,27,6.8,,0.89,,107,48,6.4,,0.89,,100,53
2024-08-06,7.1,0.25,6.5,6.7,0.91,0.87,61,45.5,6.5,6.2,0.9,0.82,97,28,6.4,6.1,0.92,0.86,60,56,6.3,6.4,0.89,0.91,50,55
2024-08-07,7.4,0.25,6.3,6.5,1.1,0.88,61.5,,6.5,6.5,1.11,0.88,99,,6.4,6.4,1.02,0.91,75,,6.5,6.3,1.01,0.93,62,
2024-08-08,7.2,0.26,6.5,6.6,1.04,1.02,62.5,44,,,,,,,6.5,6.4,1.16,0.6,42,56,6.6,3,1.22,0.31,33,50
2024-08-09,7.8,0.27,6.9,6.2,1.96,1.25,60.5,,,,,,,,6.6,6.6,1.86,0.38,40.5,,6.6,6.7,1.69,1.69,60,
2024-08-10,7.2,0.26,6.8,6.7,1.92,1.86,61,,,,,,,,6.7,6.8,1.04,1.94,12,,6.7,6.6,1.85,1.89,61,
2024-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,7,0.26,6.8,6.7,1.9,2,57,,,,,,,,6.7,6.9,1.87,2.06,51.5,,7,5.7,1.8,1.93,65,
2024-08-14,7.8,0.26,6.7,6.7,2.03,2.01,49.5,47.5,,,,,,,6.7,6.8,1.9,1.97,45,61.3,6.5,6.7,1.72,1.82,65,66.7
2024-08-15,7.5,0.26,7,7.1,1.82,2.01,49,,,,,,,,6.9,7.2,1.84,1.94,50,,6.3,6.7,1.7,1.71,72.5,
2024-08-16,7.7,0.26,6.8,6.7,1.9,1.8,62,,,,,,,,6.6,7,1.73,1.78,65,,6.5,6.5,1.75,1.85,67,
2024-08-17,6.8,0.24,6.8,6.5,1.77,1.85,57,,,,,,,,6.5,6.8,1.77,1.85,39.5,,6.4,6.3,1.76,1.82,50,
2024-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19,8.3,0.25,7.3,6.9,1.77,1.78,59.5,,,,,,,,6.7,7.1,1.81,1.87,53,,7,7,1.76,1.9,47.5,
2024-08-20,7.3,0.26,6.9,6.8,1.78,1.79,57.5,,,,,,,,6.6,7,1.78,1.9,66.5,,6.7,6.8,1.69,1.74,47,
2024-08-21,8.7,0.23,7.4,6.5,1.83,1.79,60,,,,,,,,6.8,6.9,1.74,1.8,65,,6.6,7.3,1.69,1.7,47,
2024-08-22,7.9,0.25,6.9,7,1.79,1.78,65,,,,,,,,6.8,6.9,1.75,1.71,44,,6.9,7,1.66,1.69,47,
2024-08-23,7.2,0.23,6.9,6.7,1.85,1.85,68,,,,,,,,6.9,7.2,1.74,1.76,44.5,,6.8,7.3,1.69,1.7,47,
2024-08-24,7.5,0.22,6.8,6.5,1.89,1.85,62,,,,,,,,7.2,6.9,1.74,1.78,65.5,,6.9,7,1.65,1.7,46,
2024-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-26,7.2,0.22,7,6.7,1.7,1.72,70,,,,,,,,6.9,7,1.7,1.79,62,,7.1,7,1.32,1.64,44,
2024-08-27,7.5,0.22,6.7,6.7,1.34,1.48,50,,,,,,,,6.7,6.7,1.7,1.79,69,,6.5,6.9,0.85,1.02,30,
2024-08-28,7.9,0.22,6.9,5.8,1.2,1.16,65,47.5,,,,,,,6.8,6.8,1.2,1.55,55,62.7,6.7,6.7,1.33,0.64,35,58.3
2024-08-29,7.7,0.21,7,7,1.9,1.98,64,,,,,,,,7.2,7.2,1.2,0.98,57,,7,7.4,1.72,1.64,35,
2024-08-30,7.8,0.2,7.1,7.1,1.95,1.94,62,,,,,,,,7.1,6.8,1.91,2.01,48,,7.1,7.1,1.7,1.77,33,
2024-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,
