Date,GH1-EC-BE,GH1-EC-MID,GH1-EC-END,GH1-pH-BE,GH1-pH-MID,GH1-pH-END,GH1-ml-BE,GH1-ml-MID,GH1-ml-END,GH2-EC-BE,GH2-EC-MID,GH2-EC-END,GH2-pH-BE,GH2-pH-MID,GH2-pH-END,GH2-ml-BE,GH2-ml-MID,GH2-ml-END
2024-08-01,,,,,,,,,,0.7,0.7,0.7,6.1,6.1,6.2,80,100,100
2024-08-02,0.8,0.8,0.6,6,6.1,6.2,130,100,120,0.8,0.8,0.8,5.9,6,6.2,100,100,100
2024-08-03,,,,,,,,,,0.7,0.8,0.7,6.5,6.5,6.6,100,100,100
2024-08-04,,,,,,,,,,,,,,,,,,
2024-08-05,,,,,,,,,,0.7,0.7,0.7,6.3,6.4,6.5,100,100,100
2024-08-06,0.7,0.7,0.7,6.1,6.2,6.1,70,70,60,0.7,0.7,0.7,6.3,6.4,6.5,100,100,100
2024-08-07,0.9,0.8,0.8,6.3,6.5,6.5,95,97,80,1.4,0.7,0.7,6.5,6.5,6.5,100,100,100
2024-08-08,0.9,0.7,0.7,6.1,6,6,100,100,90,0.7,0.6,0.7,6.1,6.1,6.3,100,100,100
2024-08-09,0.7,0.7,0.7,6.3,6.2,6.2,100,100,90,0.8,0.7,0.7,6.8,6.9,6.8,100,100,100
2024-08-10,0.7,0.7,0.7,6.4,6.4,6.5,100,100,90,0.7,0.8,0.8,6.7,6.8,6.9,100,100,100
2024-08-11,,,,,,,,,,,,,,,,,,
2024-08-12,,,,,,,,,,,,,,,,,,
2024-08-13,0.7,0.7,0.7,6.4,6.5,6.5,100,100,100,0.8,0.7,0.7,6.8,6.8,6.8,100,100,100
2024-08-14,0.7,0.7,0.8,6.5,6.5,6.5,100,100,90,0.7,0.7,0.8,6.8,6.8,6.9,100,100,100
2024-08-15,0.7,0.7,0.8,6.3,6.4,6.4,100,100,100,0.7,0.8,0.8,6.8,6.7,7.1,100,100,100
2024-08-16,0.8,0.8,0.8,6.4,6.3,6.3,80,90,70,0.7,0.7,0.7,6.8,6.7,6.8,100,100,100
2024-08-17,0.7,0.7,0.7,6.3,6.3,6.3,100,100,90,0.8,0.8,0.7,6.6,6.7,6.9,100,100,100
2024-08-18,,,,,,,,,,,,,,,,,,
2024-08-19,0.7,0.7,0.7,6.3,6.3,6.3,100,100,90,0.7,0.7,0.7,6.7,6.7,6.9,100,100,100
2024-08-20,0.7,0.7,0.7,6.2,6.1,6.2,100,100,90,0.7,0.7,0.8,6.6,6.7,6.9,100,100,100
2024-08-21,0.9,0.7,0.8,6.2,6.3,6.4,100,100,100,0.8,0.7,0.8,6.9,6.6,6.9,100,100,100
2024-08-22,0.8,0.7,0.8,6.1,6.1,6.2,100,100,100,0.7,0.7,0.7,6.5,6,6.8,100,100,100
2024-08-23,0.8,0.8,0.8,3.8,3.8,4,100,100,100,0.8,0.8,0.7,5.7,6,6.3,160,160,100
2024-08-24,0.7,0.7,0.7,5.9,5.9,5.6,100,100,100,0.8,0.8,0.7,6.2,6.2,6.3,100,100,100
2024-08-25,,,,,,,,,,,,,,,,,,
2024-08-26,0.6,0.7,0.7,6.1,6,6,100,100,100,0.7,0.7,0.8,6.6,6.6,6.8,100,100,100
2024-08-27,0.7,0.6,0.6,6,6,6.1,100,100,100,0.8,0.8,0.7,6.6,6.6,6.8,100,100,100
2024-08-28,0.6,0.5,0.6,6,6,6,100,100,100,0.7,0.7,0.8,6.4,6.4,6.5,100,100,100
2024-08-29,0.6,0.5,0.5,6.1,6.1,5.9,100,100,100,0.5,0.5,0.6,6.3,6.3,6.3,100,100,100
2024-08-30,0.9,0.8,0.8,5.3,5.9,5.8,70,70,60,0.7,0.7,0.7,6.5,6.6,6.7,90,90,90
2024-08-31,,,,,,,,,,,,,,,,,,
