date,time,ADC,Humidity,Lux,Pressure,Temperature
2022-11-07,15:57:01.728000,,,,,29.37
2022-11-07,15:57:01.729000,700.56,53.48,83.33,101374.0,
2022-11-07,15:57:12.036000,,,,,29.34
2022-11-07,15:57:12.037000,701.11,53.62,83.33,101374.0,
2022-11-07,15:57:15.477000,701.67,53.41,83.33,101374.0,29.35
2022-11-07,15:57:18.909000,,,,,29.35
2022-11-07,15:57:18.910000,701.67,53.55,83.33,101375.0,
2022-11-07,15:57:25.782000,,53.76,,101374.0,29.33
2022-11-07,15:57:25.783000,702.22,,83.33,,
2022-11-07,15:57:29.221000,,53.52,,101375.0,29.34
2022-11-07,15:57:29.222000,702.78,,83.33,,
2022-11-07,15:57:32.707000,,,,,29.33
2022-11-07,15:57:32.708000,703.33,53.32,83.33,101375.0,
2022-11-07,15:57:36.117000,703.89,53.04,90.83,101373.0,29.35
2022-11-07,15:57:39.525000,704.44,53.22,90.83,101373.0,29.32
2022-11-07,15:57:42.968000,,53.29,90.83,101373.0,29.33
2022-11-07,15:57:42.969000,704.44,,,,
2022-11-07,15:57:46.399000,705.0,53.22,90.83,101373.0,29.33
2022-11-07,15:57:49.848000,,53.48,,101374.0,29.34
2022-11-07,15:57:49.849000,705.56,,,,
2022-11-07,15:57:56.707000,706.67,53.82,85.83,101374.0,29.32
2022-11-07,15:58:00.170000,707.22,53.79,85.83,101375.0,29.32
2022-11-07,15:58:07.016000,707.22,53.44,85.83,101375.0,29.31
2022-11-07,15:58:10.457000,,53.41,86.67,101374.0,29.31
2022-11-07,15:58:10.458000,707.78,,,,
2022-11-07,15:58:13.896000,708.33,53.48,86.67,103375.0,29.31
2022-11-07,15:58:17.329000,,,,,29.3
2022-11-07,15:58:17.330000,708.89,53.62,85.83,101375.0,
2022-11-07,15:58:20.759000,,53.59,,,29.32
2022-11-07,15:58:20.760000,708.89,,86.67,101375.0,
2022-11-07,15:58:24.216000,,,,,29.31
2022-11-07,15:58:24.217000,709.44,53.7,86.67,101375.0,
2022-11-07,15:58:27.631000,,,,,29.32
