device,sensor,value,epoch,datetime
AM2315,Humidity,53.48,1667836621729,2022-11-07 15:57:01.729
GY30,Lux,83.33,1667836621729,2022-11-07 15:57:01.729
BMP280,Pressure,101374.0,1667836621729,2022-11-07 15:57:01.729
AM2315,Temperature,29.37,1667836621728,2022-11-07 15:57:01.728
ADS1115,ADC,700.56,1667836621729,2022-11-07 15:57:01.729
AM2315,Temperature,29.34,1667836632036,2022-11-07 15:57:12.036
ADS1115,ADC,701.11,1667836632037,2022-11-07 15:57:12.037
BMP280,Pressure,101374.0,1667836632037,2022-11-07 15:57:12.037
GY30,Lux,83.33,1667836632037,2022-11-07 15:57:12.037
AM2315,Humidity,53.62,1667836632037,2022-11-07 15:57:12.037
AM2315,Temperature,29.35,1667836635477,2022-11-07 15:57:15.477
GY30,Lux,83.33,1667836635477,2022-11-07 15:57:15.477
BMP280,Pressure,101374.0,1667836635477,2022-11-07 15:57:15.477
AM2315,Humidity,53.41,1667836635477,2022-11-07 15:57:15.477
ADS1115,ADC,701.67,1667836635477,2022-11-07 15:57:15.477
AM2315,Temperature,29.35,1667836638909,2022-11-07 15:57:18.909
ADS1115,ADC,701.67,1667836638910,2022-11-07 15:57:18.910
AM2315,Humidity,53.55,1667836638910,2022-11-07 15:57:18.910
GY30,Lux,83.33,1667836638910,2022-11-07 15:57:18.910
BMP280,Pressure,101375.0,1667836638910,2022-11-07 15:57:18.910
AM2315,Temperature,29.33,1667836645782,2022-11-07 15:57:25.782
BMP280,Pressure,101374.0,1667836645782,2022-11-07 15:57:25.782
AM2315,Humidity,53.76,1667836645782,2022-11-07 15:57:25.782
GY30,Lux,83.33,1667836645783,2022-11-07 15:57:25.783
ADS1115,ADC,702.22,1667836645783,2022-11-07 15:57:25.783
AM2315,Temperature,29.34,1667836649221,2022-11-07 15:57:29.221
GY30,Lux,83.33,1667836649222,2022-11-07 15:57:29.222
AM2315,Humidity,53.52,1667836649221,2022-11-07 15:57:29.221
BMP280,Pressure,101375.0,1667836649221,2022-11-07 15:57:29.221
ADS1115,ADC,702.78,1667836649222,2022-11-07 15:57:29.222
AM2315,Temperature,29.33,1667836652707,2022-11-07 15:57:32.707
ADS1115,ADC,703.33,1667836652708,2022-11-07 15:57:32.708
AM2315,Humidity,53.32,1667836652708,2022-11-07 15:57:32.708
GY30,Lux,83.33,1667836652708,2022-11-07 15:57:32.708
BMP280,Pressure,101375.0,1667836652708,2022-11-07 15:57:32.708
AM2315,Temperature,29.35,1667836656117,2022-11-07 15:57:36.117
ADS1115,ADC,703.89,1667836656117,2022-11-07 15:57:36.117
BMP280,Pressure,101373.0,1667836656117,2022-11-07 15:57:36.117
GY30,Lux,90.83,1667836656117,2022-11-07 15:57:36.117
AM2315,Humidity,53.04,1667836656117,2022-11-07 15:57:36.117
AM2315,Temperature,29.32,1667836659525,2022-11-07 15:57:39.525
ADS1115,ADC,704.44,1667836659525,2022-11-07 15:57:39.525
AM2315,Humidity,53.22,1667836659525,2022-11-07 15:57:39.525
GY30,Lux,90.83,1667836659525,2022-11-07 15:57:39.525
BMP280,Pressure,101373.0,1667836659525,2022-11-07 15:57:39.525
AM2315,Temperature,29.33,1667836662968,2022-11-07 15:57:42.968
ADS1115,ADC,704.44,1667836662969,2022-11-07 15:57:42.969
GY30,Lux,90.83,1667836662968,2022-11-07 15:57:42.968
AM2315,Humidity,53.29,1667836662968,2022-11-07 15:57:42.968
BMP280,Pressure,101373.0,1667836662968,2022-11-07 15:57:42.968
AM2315,Temperature,29.33,1667836666399,2022-11-07 15:57:46.399
ADS1115,ADC,705.0,1667836666399,2022-11-07 15:57:46.399
BMP280,Pressure,101373.0,1667836666399,2022-11-07 15:57:46.399
GY30,Lux,90.83,1667836666399,2022-11-07 15:57:46.399
AM2315,Humidity,53.22,1667836666399,2022-11-07 15:57:46.399
AM2315,Temperature,29.34,1667836669848,2022-11-07 15:57:49.848
BMP280,Pressure,101374.0,1667836669848,2022-11-07 15:57:49.848
AM2315,Humidity,53.48,1667836669848,2022-11-07 15:57:49.848
ADS1115,ADC,705.56,1667836669849,2022-11-07 15:57:49.849
AM2315,Temperature,29.32,1667836676707,2022-11-07 15:57:56.707
ADS1115,ADC,706.67,1667836676707,2022-11-07 15:57:56.707
BMP280,Pressure,101374.0,1667836676707,2022-11-07 15:57:56.707
GY30,Lux,85.83,1667836676707,2022-11-07 15:57:56.707
AM2315,Humidity,53.82,1667836676707,2022-11-07 15:57:56.707
AM2315,Temperature,29.32,1667836680170,2022-11-07 15:58:00.170
ADS1115,ADC,707.22,1667836680170,2022-11-07 15:58:00.170
BMP280,Pressure,101375.0,1667836680170,2022-11-07 15:58:00.170
GY30,Lux,85.83,1667836680170,2022-11-07 15:58:00.170
AM2315,Humidity,53.79,1667836680170,2022-11-07 15:58:00.170
AM2315,Temperature,29.31,1667836687016,2022-11-07 15:58:07.016
ADS1115,ADC,707.22,1667836687016,2022-11-07 15:58:07.016
GY30,Lux,85.83,1667836687016,2022-11-07 15:58:07.016
AM2315,Humidity,53.44,1667836687016,2022-11-07 15:58:07.016
BMP280,Pressure,101375.0,1667836687016,2022-11-07 15:58:07.016
AM2315,Temperature,29.31,1667836690457,2022-11-07 15:58:10.457
GY30,Lux,86.67,1667836690457,2022-11-07 15:58:10.457
AM2315,Humidity,53.41,1667836690457,2022-11-07 15:58:10.457
BMP280,Pressure,101374.0,1667836690457,2022-11-07 15:58:10.457
ADS1115,ADC,707.78,1667836690458,2022-11-07 15:58:10.458
AM2315,Temperature,29.31,1667836693896,2022-11-07 15:58:13.896
ADS1115,ADC,708.33,1667836693896,2022-11-07 15:58:13.896
BMP280,Pressure,103375.0,1667836693896,2022-11-07 15:58:13.896
GY30,Lux,86.67,1667836693896,2022-11-07 15:58:13.896
AM2315,Humidity,53.48,1667836693896,2022-11-07 15:58:13.896
AM2315,Temperature,29.3,1667836697329,2022-11-07 15:58:17.329
ADS1115,ADC,708.89,1667836697330,2022-11-07 15:58:17.330
BMP280,Pressure,101375.0,1667836697330,2022-11-07 15:58:17.330
GY30,Lux,85.83,1667836697330,2022-11-07 15:58:17.330
AM2315,Humidity,53.62,1667836697330,2022-11-07 15:58:17.330
AM2315,Temperature,29.32,1667836700759,2022-11-07 15:58:20.759
ADS1115,ADC,708.89,1667836700760,2022-11-07 15:58:20.760
BMP280,Pressure,101375.0,1667836700760,2022-11-07 15:58:20.760
GY30,Lux,86.67,1667836700760,2022-11-07 15:58:20.760
AM2315,Humidity,53.59,1667836700759,2022-11-07 15:58:20.759
AM2315,Humidity,53.7,1667836704217,2022-11-07 15:58:24.217
AM2315,Temperature,29.31,1667836704216,2022-11-07 15:58:24.216
BMP280,Pressure,101375.0,1667836704217,2022-11-07 15:58:24.217
GY30,Lux,86.67,1667836704217,2022-11-07 15:58:24.217
ADS1115,ADC,709.44,1667836704217,2022-11-07 15:58:24.217
AM2315,Temperature,29.32,1667836707631,2022-11-07 15:58:27.631
